10	0	0
0	0	0	0.000
0	1	0	5.275
0	2	0	10.367
0	3	0	9.335
0	4	0	25.081
0	5	0	17.863
0	6	0	25.051
0	7	0	26.596
0	8	0	25.845
0	9	0	34.178
1	0	0	8.806
1	1	0	0.000
1	2	0	6.756
1	3	0	4.249
1	4	0	23.603
1	5	0	15.892
1	6	0	23.081
1	7	0	24.625
1	8	0	23.874
1	9	0	32.565
2	0	0	11.275
2	1	0	10.696
2	2	0	0.000
2	3	0	9.074
2	4	0	21.193
2	5	0	14.399
2	6	0	21.589
2	7	0	23.132
2	8	0	22.381
2	9	0	29.970
3	0	0	10.335
3	1	0	9.935
3	2	0	9.463
3	3	0	0.000
3	4	0	24.975
3	5	0	17.177
3	6	0	24.366
3	7	0	25.910
3	8	0	25.159
3	9	0	34.071
4	0	0	28.997
4	1	0	23.204
4	2	0	25.739
4	3	0	27.514
4	4	0	0.000
4	5	0	19.110
4	6	0	17.745
4	7	0	15.914
4	8	0	26.331
4	9	0	14.082
5	0	0	19.808
5	1	0	14.431
5	2	0	19.547
5	3	0	18.734
5	4	0	16.857
5	5	0	0.000
5	6	0	8.857
5	7	0	10.406
5	8	0	10.019
5	9	0	22.781
6	0	0	22.908
6	1	0	17.531
6	2	0	22.647
6	3	0	21.834
6	4	0	18.388
6	5	0	8.853
6	6	0	0.000
6	7	0	4.386
6	8	0	14.225
6	9	0	19.016
7	0	0	27.288
7	1	0	21.497
7	2	0	24.037
7	3	0	25.797
7	4	0	14.606
7	5	0	14.564
7	6	0	5.772
7	7	0	0.000
7	8	0	19.801
7	9	0	15.243
8	0	0	26.239
8	1	0	20.863
8	2	0	25.966
8	3	0	25.156
8	4	0	23.796
8	5	0	11.279
8	6	0	16.550
8	7	0	18.094
8	8	0	0.000
8	9	0	30.466
9	0	0	39.883
9	1	0	33.893
9	2	0	38.441
9	3	0	38.276
9	4	0	15.082
9	5	0	27.278
9	6	0	17.304
9	7	0	16.440
9	8	0	31.829
9	9	0	0.000
