10	12	36
0	0	12	0.000
0	0	13	0.000
0	0	14	0.000
0	0	15	0.000
0	0	16	0.000
0	0	17	0.000
0	0	18	0.000
0	0	19	0.000
0	0	20	0.000
0	0	21	0.000
0	0	22	0.000
0	0	23	0.000
0	0	24	0.000
0	0	25	0.000
0	0	26	0.000
0	0	27	0.000
0	0	28	0.000
0	0	29	0.000
0	0	30	0.000
0	0	31	0.000
0	0	32	0.000
0	0	33	0.000
0	0	34	0.000
0	0	35	0.000
0	0	36	0.000
0	1	12	8.477
0	1	13	5.948
0	1	14	5.277
0	1	15	5.283
0	1	16	5.282
0	1	17	5.278
0	1	18	5.280
0	1	19	5.278
0	1	20	5.276
0	1	21	5.274
0	1	22	5.275
0	1	23	5.278
0	1	24	5.277
0	1	25	5.277
0	1	26	5.276
0	1	27	5.276
0	1	28	5.277
0	1	29	5.275
0	1	30	5.273
0	1	31	5.276
0	1	32	5.277
0	1	33	5.278
0	1	34	5.280
0	1	35	5.283
0	1	36	5.289
0	2	12	15.600
0	2	13	11.885
0	2	14	10.461
0	2	15	10.473
0	2	16	10.459
0	2	17	10.483
0	2	18	10.514
0	2	19	10.516
0	2	20	10.409
0	2	21	10.419
0	2	22	10.456
0	2	23	10.474
0	2	24	10.474
0	2	25	10.488
0	2	26	10.473
0	2	27	10.496
0	2	28	10.469
0	2	29	10.476
0	2	30	10.495
0	2	31	10.507
0	2	32	10.572
0	2	33	10.613
0	2	34	10.861
0	2	35	10.861
0	2	36	11.033
0	3	12	13.065
0	3	13	9.335
0	3	14	9.335
0	3	15	9.335
0	3	16	9.335
0	3	17	9.335
0	3	18	9.335
0	3	19	9.335
0	3	20	9.335
0	3	21	9.335
0	3	22	9.335
0	3	23	9.335
0	3	24	9.335
0	3	25	9.335
0	3	26	9.335
0	3	27	9.335
0	3	28	9.335
0	3	29	9.335
0	3	30	9.335
0	3	31	9.335
0	3	32	9.335
0	3	33	9.335
0	3	34	9.335
0	3	35	9.335
0	3	36	9.335
0	4	12	41.541
0	4	13	26.940
0	4	14	25.327
0	4	15	25.342
0	4	16	25.268
0	4	17	25.326
0	4	18	25.492
0	4	19	25.391
0	4	20	25.138
0	4	21	25.143
0	4	22	25.354
0	4	23	25.623
0	4	24	25.381
0	4	25	25.292
0	4	26	25.276
0	4	27	25.297
0	4	28	25.307
0	4	29	25.287
0	4	30	25.304
0	4	31	25.495
0	4	32	26.278
0	4	33	27.361
0	4	34	28.166
0	4	35	28.682
0	4	36	30.752
0	5	12	25.701
0	5	13	20.557
0	5	14	20.266
0	5	15	17.945
0	5	16	17.899
0	5	17	17.982
0	5	18	18.043
0	5	19	18.050
0	5	20	18.019
0	5	21	17.912
0	5	22	17.983
0	5	23	17.983
0	5	24	18.074
0	5	25	17.956
0	5	26	18.090
0	5	27	17.972
0	5	28	18.104
0	5	29	22.712
0	5	30	24.578
0	5	31	26.259
0	5	32	26.568
0	5	33	21.596
0	5	34	19.001
0	5	35	21.031
0	5	36	21.701
0	6	12	37.843
0	6	13	27.959
0	6	14	27.574
0	6	15	25.213
0	6	16	25.290
0	6	17	25.367
0	6	18	25.470
0	6	19	25.506
0	6	20	25.400
0	6	21	25.224
0	6	22	25.287
0	6	23	25.278
0	6	24	25.499
0	6	25	25.425
0	6	26	25.496
0	6	27	25.416
0	6	28	25.611
0	6	29	27.861
0	6	30	29.039
0	6	31	29.293
0	6	32	31.128
0	6	33	29.757
0	6	34	27.040
0	6	35	30.926
0	6	36	33.507
0	7	12	39.854
0	7	13	29.499
0	7	14	28.014
0	7	15	26.746
0	7	16	26.825
0	7	17	26.877
0	7	18	26.996
0	7	19	27.039
0	7	20	26.934
0	7	21	26.759
0	7	22	26.827
0	7	23	26.812
0	7	24	27.005
0	7	25	26.940
0	7	26	27.018
0	7	27	26.926
0	7	28	27.127
0	7	29	28.010
0	7	30	29.093
0	7	31	29.269
0	7	32	30.210
0	7	33	31.284
0	7	34	28.504
0	7	35	31.938
0	7	36	34.073
0	8	12	36.051
0	8	13	27.324
0	8	14	27.061
0	8	15	25.889
0	8	16	25.839
0	8	17	25.924
0	8	18	25.980
0	8	19	25.979
0	8	20	25.941
0	8	21	25.845
0	8	22	25.908
0	8	23	25.904
0	8	24	25.985
0	8	25	25.889
0	8	26	26.012
0	8	27	25.906
0	8	28	26.005
0	8	29	27.708
0	8	30	27.774
0	8	31	27.662
0	8	32	29.492
0	8	33	27.337
0	8	34	26.773
0	8	35	28.725
0	8	36	29.427
0	9	12	54.341
0	9	13	36.788
0	9	14	34.937
0	9	15	34.766
0	9	16	34.845
0	9	17	36.171
0	9	18	36.444
0	9	19	35.332
0	9	20	34.639
0	9	21	34.453
0	9	22	34.523
0	9	23	34.879
0	9	24	34.323
0	9	25	34.261
0	9	26	34.224
0	9	27	34.246
0	9	28	34.158
0	9	29	34.636
0	9	30	35.156
0	9	31	35.334
0	9	32	36.286
0	9	33	37.846
0	9	34	38.962
0	9	35	42.942
0	9	36	44.512
1	0	12	12.832
1	0	13	9.184
1	0	14	8.807
1	0	15	8.810
1	0	16	8.810
1	0	17	8.808
1	0	18	8.809
1	0	19	8.808
1	0	20	8.807
1	0	21	8.806
1	0	22	8.806
1	0	23	8.991
1	0	24	8.990
1	0	25	8.990
1	0	26	8.989
1	0	27	8.989
1	0	28	8.990
1	0	29	8.988
1	0	30	8.805
1	0	31	8.806
1	0	32	8.807
1	0	33	8.808
1	0	34	8.809
1	0	35	8.810
1	0	36	8.814
1	1	12	0.000
1	1	13	0.000
1	1	14	0.000
1	1	15	0.000
1	1	16	0.000
1	1	17	0.000
1	1	18	0.000
1	1	19	0.000
1	1	20	0.000
1	1	21	0.000
1	1	22	0.000
1	1	23	0.000
1	1	24	0.000
1	1	25	0.000
1	1	26	0.000
1	1	27	0.000
1	1	28	0.000
1	1	29	0.000
1	1	30	0.000
1	1	31	0.000
1	1	32	0.000
1	1	33	0.000
1	1	34	0.000
1	1	35	0.000
1	1	36	0.000
1	2	12	9.917
1	2	13	7.134
1	2	14	6.757
1	2	15	6.760
1	2	16	6.760
1	2	17	6.758
1	2	18	6.759
1	2	19	6.758
1	2	20	6.757
1	2	21	6.756
1	2	22	6.756
1	2	23	6.941
1	2	24	6.940
1	2	25	6.940
1	2	26	6.939
1	2	27	6.939
1	2	28	6.940
1	2	29	6.938
1	2	30	6.755
1	2	31	6.756
1	2	32	6.757
1	2	33	6.758
1	2	34	6.759
1	2	35	6.760
1	2	36	6.764
1	3	12	6.854
1	3	13	4.880
1	3	14	4.362
1	3	15	4.264
1	3	16	4.257
1	3	17	4.232
1	3	18	4.252
1	3	19	4.264
1	3	20	4.374
1	3	21	4.273
1	3	22	4.252
1	3	23	5.477
1	3	24	5.478
1	3	25	5.476
1	3	26	5.668
1	3	27	5.795
1	3	28	5.487
1	3	29	5.695
1	3	30	4.343
1	3	31	6.311
1	3	32	6.278
1	3	33	6.467
1	3	34	6.740
1	3	35	6.647
1	3	36	6.563
1	4	12	38.791
1	4	13	24.607
1	4	14	23.907
1	4	15	23.900
1	4	16	23.830
1	4	17	23.855
1	4	18	24.032
1	4	19	24.002
1	4	20	23.870
1	4	21	23.705
1	4	22	23.742
1	4	23	24.366
1	4	24	24.123
1	4	25	24.057
1	4	26	24.010
1	4	27	24.085
1	4	28	24.026
1	4	29	24.042
1	4	30	23.875
1	4	31	23.962
1	4	32	24.845
1	4	33	25.823
1	4	34	26.657
1	4	35	27.202
1	4	36	29.770
1	5	12	28.957
1	5	13	19.526
1	5	14	18.845
1	5	15	17.302
1	5	16	16.661
1	5	17	16.459
1	5	18	16.368
1	5	19	16.334
1	5	20	16.103
1	5	21	15.947
1	5	22	16.017
1	5	23	16.206
1	5	24	16.439
1	5	25	16.328
1	5	26	16.412
1	5	27	16.418
1	5	28	16.623
1	5	29	21.212
1	5	30	22.814
1	5	31	22.637
1	5	32	24.535
1	5	33	19.901
1	5	34	18.044
1	5	35	19.888
1	5	36	21.458
1	6	12	41.165
1	6	13	28.101
1	6	14	26.118
1	6	15	24.563
1	6	16	24.055
1	6	17	23.801
1	6	18	23.824
1	6	19	23.803
1	6	20	23.487
1	6	21	23.261
1	6	22	23.329
1	6	23	23.493
1	6	24	23.814
1	6	25	23.813
1	6	26	23.831
1	6	27	23.842
1	6	28	24.141
1	6	29	26.621
1	6	30	27.617
1	6	31	27.747
1	6	32	29.702
1	6	33	27.923
1	6	34	26.033
1	6	35	29.787
1	6	36	33.207
1	7	12	42.296
1	7	13	27.289
1	7	14	26.594
1	7	15	26.103
1	7	16	25.587
1	7	17	25.336
1	7	18	25.334
1	7	19	25.329
1	7	20	25.019
1	7	21	24.794
1	7	22	24.863
1	7	23	25.033
1	7	24	25.348
1	7	25	25.318
1	7	26	25.346
1	7	27	25.364
1	7	28	25.651
1	7	29	26.765
1	7	30	27.663
1	7	31	27.736
1	7	32	28.773
1	7	33	29.450
1	7	34	27.498
1	7	35	30.798
1	7	36	33.774
1	8	12	39.307
1	8	13	26.294
1	8	14	25.641
1	8	15	25.247
1	8	16	24.601
1	8	17	24.401
1	8	18	24.305
1	8	19	24.263
1	8	20	24.025
1	8	21	23.880
1	8	22	23.942
1	8	23	24.127
1	8	24	24.350
1	8	25	24.260
1	8	26	24.334
1	8	27	24.352
1	8	28	24.524
1	8	29	26.208
1	8	30	26.021
1	8	31	25.833
1	8	32	25.938
1	8	33	25.642
1	8	34	25.816
1	8	35	27.582
1	8	36	29.183
1	9	12	51.616
1	9	13	34.454
1	9	14	33.504
1	9	15	33.431
1	9	16	33.431
1	9	17	34.388
1	9	18	35.020
1	9	19	33.992
1	9	20	33.437
1	9	21	33.007
1	9	22	32.959
1	9	23	33.608
1	9	24	33.062
1	9	25	33.032
1	9	26	32.942
1	9	27	33.038
1	9	28	32.902
1	9	29	33.207
1	9	30	33.734
1	9	31	33.788
1	9	32	34.860
1	9	33	36.360
1	9	34	37.453
1	9	35	41.462
1	9	36	43.291
2	0	12	15.583
2	0	13	11.275
2	0	14	11.275
2	0	15	11.275
2	0	16	11.275
2	0	17	11.275
2	0	18	11.275
2	0	19	11.275
2	0	20	11.275
2	0	21	11.275
2	0	22	11.275
2	0	23	11.275
2	0	24	11.275
2	0	25	11.275
2	0	26	11.275
2	0	27	11.275
2	0	28	11.275
2	0	29	11.275
2	0	30	11.275
2	0	31	11.275
2	0	32	11.275
2	0	33	11.275
2	0	34	11.275
2	0	35	11.275
2	0	36	11.275
2	1	12	16.128
2	1	13	10.699
2	1	14	10.710
2	1	15	10.707
2	1	16	10.699
2	1	17	10.703
2	1	18	10.700
2	1	19	10.700
2	1	20	10.692
2	1	21	10.694
2	1	22	10.698
2	1	23	10.697
2	1	24	10.696
2	1	25	10.695
2	1	26	10.696
2	1	27	10.698
2	1	28	10.694
2	1	29	10.689
2	1	30	10.696
2	1	31	10.698
2	1	32	10.714
2	1	33	10.719
2	1	34	10.711
2	1	35	10.731
2	1	36	10.741
2	2	12	0.000
2	2	13	0.000
2	2	14	0.000
2	2	15	0.000
2	2	16	0.000
2	2	17	0.000
2	2	18	0.000
2	2	19	0.000
2	2	20	0.000
2	2	21	0.000
2	2	22	0.000
2	2	23	0.000
2	2	24	0.000
2	2	25	0.000
2	2	26	0.000
2	2	27	0.000
2	2	28	0.000
2	2	29	0.000
2	2	30	0.000
2	2	31	0.000
2	2	32	0.000
2	2	33	0.000
2	2	34	0.000
2	2	35	0.000
2	2	36	0.000
2	3	12	12.586
2	3	13	9.074
2	3	14	9.074
2	3	15	9.074
2	3	16	9.074
2	3	17	9.074
2	3	18	9.074
2	3	19	9.074
2	3	20	9.074
2	3	21	9.074
2	3	22	9.074
2	3	23	9.074
2	3	24	9.074
2	3	25	9.074
2	3	26	9.074
2	3	27	9.074
2	3	28	9.074
2	3	29	9.074
2	3	30	9.074
2	3	31	9.074
2	3	32	9.074
2	3	33	9.074
2	3	34	9.074
2	3	35	9.074
2	3	36	9.074
2	4	12	33.861
2	4	13	23.700
2	4	14	21.669
2	4	15	21.354
2	4	16	21.431
2	4	17	21.366
2	4	18	21.470
2	4	19	21.508
2	4	20	21.415
2	4	21	21.238
2	4	22	21.225
2	4	23	21.692
2	4	24	21.480
2	4	25	21.385
2	4	26	21.330
2	4	27	21.359
2	4	28	21.332
2	4	29	21.442
2	4	30	21.349
2	4	31	21.437
2	4	32	22.219
2	4	33	23.243
2	4	34	23.818
2	4	35	24.169
2	4	36	24.466
2	5	12	23.580
2	5	13	18.619
2	5	14	16.445
2	5	15	14.757
2	5	16	14.799
2	5	17	14.721
2	5	18	14.788
2	5	19	14.927
2	5	20	14.815
2	5	21	14.526
2	5	22	14.599
2	5	23	14.846
2	5	24	14.843
2	5	25	14.772
2	5	26	14.739
2	5	27	14.802
2	5	28	14.853
2	5	29	19.470
2	5	30	21.126
2	5	31	21.137
2	5	32	23.031
2	5	33	17.500
2	5	34	16.064
2	5	35	17.818
2	5	36	18.317
2	6	12	35.722
2	6	13	28.026
2	6	14	23.714
2	6	15	22.018
2	6	16	22.193
2	6	17	22.064
2	6	18	22.243
2	6	19	22.396
2	6	20	22.199
2	6	21	21.840
2	6	22	21.911
2	6	23	22.133
2	6	24	22.218
2	6	25	22.257
2	6	26	22.158
2	6	27	22.226
2	6	28	22.371
2	6	29	24.056
2	6	30	25.022
2	6	31	25.113
2	6	32	26.923
2	6	33	25.563
2	6	34	23.863
2	6	35	27.258
2	6	36	29.881
2	7	12	37.548
2	7	13	26.383
2	7	14	24.356
2	7	15	23.558
2	7	16	23.726
2	7	17	23.599
2	7	18	23.753
2	7	19	23.922
2	7	20	23.731
2	7	21	23.373
2	7	22	23.445
2	7	23	23.673
2	7	24	23.752
2	7	25	23.763
2	7	26	23.673
2	7	27	23.748
2	7	28	23.882
2	7	29	24.165
2	7	30	25.138
2	7	31	25.211
2	7	32	26.147
2	7	33	27.089
2	7	34	25.389
2	7	35	28.269
2	7	36	30.308
2	8	12	33.930
2	8	13	25.387
2	8	14	23.241
2	8	15	22.701
2	8	16	22.739
2	8	17	22.664
2	8	18	22.725
2	8	19	22.856
2	8	20	22.737
2	8	21	22.459
2	8	22	22.524
2	8	23	22.767
2	8	24	22.754
2	8	25	22.705
2	8	26	22.661
2	8	27	22.736
2	8	28	22.755
2	8	29	25.387
2	8	30	25.333
2	8	31	25.334
2	8	32	25.433
2	8	33	23.241
2	8	34	23.836
2	8	35	25.511
2	8	36	26.042
2	9	12	46.872
2	9	13	33.395
2	9	14	31.361
2	9	15	31.071
2	9	16	31.064
2	9	17	30.960
2	9	18	32.458
2	9	19	31.938
2	9	20	31.100
2	9	21	30.761
2	9	22	30.559
2	9	23	30.943
2	9	24	30.505
2	9	25	30.369
2	9	26	30.224
2	9	27	30.279
2	9	28	30.295
2	9	29	30.224
2	9	30	31.779
2	9	31	31.262
2	9	32	32.199
2	9	33	33.834
2	9	34	34.551
2	9	35	38.236
2	9	36	37.987
3	0	12	14.348
3	0	13	10.335
3	0	14	10.335
3	0	15	10.335
3	0	16	10.335
3	0	17	10.335
3	0	18	10.335
3	0	19	10.335
3	0	20	10.335
3	0	21	10.335
3	0	22	10.335
3	0	23	10.335
3	0	24	10.335
3	0	25	10.335
3	0	26	10.335
3	0	27	10.335
3	0	28	10.335
3	0	29	10.335
3	0	30	10.335
3	0	31	10.335
3	0	32	10.335
3	0	33	10.335
3	0	34	10.335
3	0	35	10.335
3	0	36	10.335
3	1	12	19.004
3	1	13	12.256
3	1	14	13.049
3	1	15	12.353
3	1	16	11.935
3	1	17	11.903
3	1	18	10.440
3	1	19	10.304
3	1	20	10.806
3	1	21	10.280
3	1	22	10.066
3	1	23	10.176
3	1	24	10.465
3	1	25	10.589
3	1	26	10.537
3	1	27	10.557
3	1	28	10.205
3	1	29	10.240
3	1	30	10.144
3	1	31	10.141
3	1	32	10.134
3	1	33	10.034
3	1	34	10.091
3	1	35	10.346
3	1	36	11.410
3	2	12	13.320
3	2	13	9.505
3	2	14	10.444
3	2	15	10.444
3	2	16	10.444
3	2	17	10.444
3	2	18	9.505
3	2	19	9.505
3	2	20	9.505
3	2	21	9.505
3	2	22	9.505
3	2	23	9.505
3	2	24	9.505
3	2	25	9.505
3	2	26	9.505
3	2	27	9.505
3	2	28	9.505
3	2	29	9.505
3	2	30	9.505
3	2	31	9.505
3	2	32	9.505
3	2	33	9.486
3	2	34	9.505
3	2	35	9.505
3	2	36	9.505
3	3	12	0.000
3	3	13	0.000
3	3	14	0.000
3	3	15	0.000
3	3	16	0.000
3	3	17	0.000
3	3	18	0.000
3	3	19	0.000
3	3	20	0.000
3	3	21	0.000
3	3	22	0.000
3	3	23	0.000
3	3	24	0.000
3	3	25	0.000
3	3	26	0.000
3	3	27	0.000
3	3	28	0.000
3	3	29	0.000
3	3	30	0.000
3	3	31	0.000
3	3	32	0.000
3	3	33	0.000
3	3	34	0.000
3	3	35	0.000
3	3	36	0.000
3	4	12	43.390
3	4	13	27.564
3	4	14	27.363
3	4	15	27.341
3	4	16	27.188
3	4	17	27.206
3	4	18	25.902
3	4	19	25.659
3	4	20	25.921
3	4	21	25.393
3	4	22	25.388
3	4	23	25.762
3	4	24	25.817
3	4	25	25.844
3	4	26	25.787
3	4	27	25.812
3	4	28	25.481
3	4	29	25.499
3	4	30	25.433
3	4	31	25.617
3	4	32	26.385
3	4	33	27.370
3	4	34	28.273
3	4	35	29.070
3	4	36	32.628
3	5	12	33.874
3	5	13	22.483
3	5	14	22.302
3	5	15	20.331
3	5	16	20.019
3	5	17	19.814
3	5	18	18.396
3	5	19	18.166
3	5	20	18.270
3	5	21	17.583
3	5	22	17.461
3	5	23	17.517
3	5	24	18.212
3	5	25	18.191
3	5	26	18.221
3	5	27	18.194
3	5	28	18.025
3	5	29	22.693
3	5	30	24.349
3	5	31	25.987
3	5	32	26.641
3	5	33	21.256
3	5	34	18.647
3	5	35	21.731
3	5	36	23.854
3	6	12	46.092
3	6	13	29.752
3	6	14	29.563
3	6	15	27.660
3	6	16	27.381
3	6	17	27.272
3	6	18	25.803
3	6	19	25.622
3	6	20	25.650
3	6	21	24.896
3	6	22	24.772
3	6	23	24.805
3	6	24	25.651
3	6	25	25.657
3	6	26	25.624
3	6	27	25.644
3	6	28	25.535
3	6	29	28.066
3	6	30	29.168
3	6	31	29.423
3	6	32	31.237
3	6	33	29.386
3	6	34	26.685
3	6	35	31.685
